"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000266554.1",17.2125359779523,5.08712716765421,1.00167519200562,5.07861950486007,3.80187258318092e-07,0.000406129447709209
"ENSG00000261049.2",6.96563978609181,2.88091171566864,0.569151747820491,5.06176380324017,4.15395455732169e-07,0.000421629194853812
"ENSG00000262151.1",8.30400265475345,3.18989139581423,0.630337167090823,5.0606113082883,4.17914400185496e-07,0.000421629194853812
"ENSG00000253854.1",55.6283196707341,1.27328834875604,0.255416849999952,4.98513840710308,6.19174734060545e-07,0.000607795306515648
"ENSG00000263680.2",14.3882122380563,3.07388337796073,0.618129428743073,4.9728798452636,6.59655495689389e-07,0.000630491779037858
"ENSG00000231201.1",9.55999007896733,3.63790334254213,0.736673234843587,4.9382862991005,7.88120800558157e-07,0.000730116349545349
"ENSG00000250290.1",9.80573689886671,2.31616713391592,0.470113751562031,4.9268227662349,8.35775001018453e-07,0.000730116349545349
"ENSG00000211665.2",120.443372171223,2.66500805895624,0.540965333153296,4.92639342233238,8.37612653042993e-07,0.000730116349545349
"ENSG00000265218.1",14.2839115008463,2.2617659044649,0.459256802714859,4.92483919910311,8.44297540773806e-07,0.000730116349545349
"ENSG00000279762.2",18.4694789511752,2.29092265517402,0.466482224466432,4.91106099014684,9.05849046474106e-07,0.000765126450417199
"ENSG00000226205.1",12.6312929089784,3.32540332605117,0.68069862096635,4.8852799515449,1.03281997536956e-06,0.000825326962543635
"ENSG00000236324.1",7.96457984615194,5.39385261670623,1.10567587569819,4.87833074344706,1.06987415407837e-06,0.000825326962543635
"ENSG00000279176.1",11.8002737382491,4.75905792684292,0.975594978655665,4.87810826312444,1.07108133747198e-06,0.000825326962543635
"ENSG00000279390.1",22.7756571341833,4.11238940566742,0.843158049287667,4.87736481806907,1.07512480423917e-06,0.000825326962543635
"ENSG00000147381.10",218.752088876427,-6.68960353076573,1.37336024311439,-4.87097508778586,1.11048842441982e-06,0.000825326962543635
"ENSG00000280042.1",18.0151171139942,3.26079373852945,0.669506138549407,4.87044636453145,1.11346423911448e-06,0.000825326962543635
"ENSG00000269994.1",33.3872464791395,-2.57667267292583,0.530690433595275,-4.85532150159484,1.20191578812061e-06,0.00087307162849081
"ENSG00000274618.1",14.9155457294222,8.72291792606803,1.79995823156308,4.84617796852599,1.25862621283803e-06,0.000892798545592797
"ENSG00000228554.1",18.0513784358313,1.97656491264694,0.408119083043162,4.84310828572038,1.27823580316149e-06,0.000892798545592797
"ENSG00000228634.1",12.0194009006077,2.7471130775323,0.567817052398369,4.83802496936105,1.31135670615602e-06,0.000898650482407295
"ENSG00000259116.1",17.6844810453141,2.03511733822277,0.421001611893776,4.83398942124777,1.33823700765452e-06,0.000900088298481707
"ENSG00000186529.13",123.352748530054,-2.49620125173856,0.51966790603087,-4.80345471169097,1.55951175147569e-06,0.00102984485115631
"ENSG00000180747.14",167.211329890543,1.93395585136672,0.40332211661789,4.79506521383988,1.62621918486278e-06,0.00105471929989672
"ENSG00000239503.1",20.8744548680352,3.42564464783887,0.71567044984037,4.78662301706457,1.69610993290749e-06,0.00107575609297996
"ENSG00000230590.6",309.069031321492,2.07105835042651,0.433178267824047,4.78107630105709,1.74359163996153e-06,0.00107575609297996
"ENSG00000279166.1",42.8839072045207,3.65389510665417,0.764313277843684,4.78062492511278,1.74751127438925e-06,0.00107575609297996
"ENSG00000138109.9",28.8634020130098,-2.78288296076862,0.58278623582585,-4.77513501468523,1.79586726200665e-06,0.00108709831593469
"ENSG00000252213.1",6.54572870799571,4.80216626263645,1.00689027222417,4.76930445661048,1.84863089399602e-06,0.00110069301753992
"ENSG00000189433.5",39.2385061248738,-3.11872179039196,0.6545944744968,-4.76435703614728,1.89456785297032e-06,0.00110985007128842
"ENSG00000275017.1",10.7336942067791,2.95902364029051,0.622011777409392,4.75718265756077,1.96313524253575e-06,0.00112049485382552
"ENSG00000247844.1",87.998324138546,-3.80941264668483,0.800965992300488,-4.75602295641,1.97444027105819e-06,0.00112049485382552
"ENSG00000279616.1",5.99663522911063,4.35634822124965,0.917790216305863,4.74656206162678,2.06903259955958e-06,0.00113543273786522
"ENSG00000228212.1",11.9060139750807,2.7527929196809,0.580215002515565,4.74443595519931,2.09088116310386e-06,0.00113543273786522
"ENSG00000168875.2",31.9212742938506,-5.07992024899026,1.0707911685713,-4.74408119724046,2.09454827744962e-06,0.00113543273786522
"ENSG00000225092.2",19.9691160765343,3.48803818230541,0.736948938164778,4.7330798670959,2.2113842317476e-06,0.00118113934260401
"ENSG00000232564.2",22.5642015469361,2.65528715585403,0.563408327663305,4.71290008592283,2.44215957728049e-06,0.00128549617169315
"ENSG00000134551.11",9.10073465053004,2.32148035322748,0.493367824947871,4.70537444040411,2.53400425681377e-06,0.00130972075647692
"ENSG00000228221.4",122.893449805845,1.6484944673312,0.350712872141723,4.70041050179944,2.59639030027638e-06,0.00130972075647692
"ENSG00000277157.1",55.1008207664149,3.55455171750247,0.756288672570378,4.69999333114657,2.60169986802697e-06,0.00130972075647692
"ENSG00000256789.1",7.65303660118191,3.51449651338438,0.748147992298296,4.69759532814881,2.63242332661935e-06,0.00130972075647692
"ENSG00000274267.1",80.9446470371504,4.17563744556693,0.890919983760951,4.68688268495201,2.77397869038804e-06,0.00134697109919888
"ENSG00000124102.4",152.205503412874,-2.48278138767273,0.529792175109676,-4.68633079973058,2.78146565087875e-06,0.00134697109919888
"ENSG00000183484.10",494.198581376184,1.12135579191356,0.240009469624673,4.67213145242619,2.98090073074893e-06,0.00140872866215034
"ENSG00000249835.2",13.4167220136362,3.20331830945082,0.685679700181568,4.67174149767389,2.98656682229008e-06,0.00140872866215034
"ENSG00000131094.3",28.8521990835651,-2.65262827929043,0.569364090522881,-4.65893147011495,3.17854989281685e-06,0.00148006323214241
"ENSG00000279344.1",22.3570498680763,1.9113419661136,0.411786378830571,4.64158618248035,3.4574475864695e-06,0.00157726420943987
"ENSG00000280067.1",68.4277101515235,1.67958467259049,0.362107459320459,4.6383597723793,3.51185081985597e-06,0.00157726420943987
"ENSG00000168298.5",286.399608590803,3.24359007889456,0.699347567761849,4.63802296371053,3.51757711907019e-06,0.00157726420943987
"ENSG00000185479.5",59.2212465374188,-3.5287625286493,0.762863980509304,-4.62567720957729,3.73376410214643e-06,0.00165349045233247
"ENSG00000114638.6",28.9749851766879,-3.04238540085537,0.658068981942716,-4.62320134262187,3.77862630901969e-06,0.00165349045233247
"ENSG00000238273.3",57.1434653804014,2.17595015053219,0.474805204199913,4.58282708631817,4.58731359562235e-06,0.00194529361441635
"ENSG00000250893.1",18.804848479015,1.67803385083455,0.366197640005639,4.58231749065534,4.59851005214591e-06,0.00194529361441635
"ENSG00000123999.4",68.9116990970522,-2.5393948416988,0.55421456543941,-4.58197059416046,4.60614677422374e-06,0.00194529361441635
"ENSG00000275216.1",199.854645038604,-3.37633610594148,0.737713710955228,-4.57675661412018,4.72240337275881e-06,0.00196147245662319
"ENSG00000235920.1",11.6975693924144,3.58694775235446,0.783958897156028,4.57542833606054,4.75246630459363e-06,0.00196147245662319
"ENSG00000198744.5",293.832154351688,-2.41395319665453,0.528679703791539,-4.56600315719016,4.97111281622988e-06,0.00202866087062325
"ENSG00000251288.2",10.5263301257851,2.79499997429434,0.613089622114954,4.5588766690464,5.14279598287819e-06,0.00205396866404288
"ENSG00000237738.1",4.525895098598,2.93146423373246,0.643043157399632,4.558736377177,5.1462320602396e-06,0.00205396866404288
"ENSG00000233602.1",11.0282982586693,3.07781863729781,0.676485535453446,4.5497183250707,5.37177737083728e-06,0.00212068428379141
